date|time|description|vendor|amount
2023-03-20|09:30:02|Betta Tank Setup Lesson|Omega One|98.09
2023-04-08|08:15:44|Moneywort|Aquatic Plant Depot|-436.18
2023-03-01|01:50:30|Intro to Aquascaping Class|Aquatic Plant Depot|1200.64
2023-06-02|11:41:00|Planting Techniques Workshop|Aquashella Expo|835.15
2024-03-10|10:14:43|Dwarf Hairgrass|Tetra|-108.23
2023-02-12|03:53:04|Bumblebee Goby (Pair)|AquaLuxe Design|-143.66
2023-04-14|10:49:50|Planting Techniques Workshop|Tetra|1210.25
2025-09-08|11:08:09|Betta Revive|AquaLuxe Design|-131.76
2025-01-07|10:21:45|Java Fern|Aquashella Expo|-213.33
2025-02-06|02:26:58|AquaFest Revenue|Fluval|906.66
2025-03-23|09:38:06|Java Fern|AquaLuxe Design|-32.28
2023-02-16|01:54:48|Ich-X Treatment|AquaLuxe Design|-471.0
2025-03-21|06:02:03|Bumblebee Goby (Pair)|AquaLuxe Design|-276.49
2023-08-14|05:34:50|Filter Replacement Service|Seachem|-435.91
2023-10-17|10:29:04|Amazon Sword|Tetra|-44.73
2023-10-19|12:56:35|Aquashella Orlando Booth Sales|Fluval|935.01
2024-06-23|09:37:55|Aquarium Expo Ticket Sales|Tetra|1054.38
2025-01-13|07:20:53|Algae Wafers|AquaWorld Supplies|-105.7
2023-09-19|03:29:54|Aquashella Chicago Vendor Payment|Fluval|1211.07
2023-11-05|12:41:55|Intro to Aquascaping Class|Tetra|1375.15
2025-05-23|10:00:17|Live Demo: Building a Nano Tank|Omega One|1055.83
2023-01-16|08:03:03|Water Quality Testing|Aquatic Plant Depot|-59.21
2023-06-21|04:50:04|Ich-X Treatment|PetSmart|-262.89
2023-01-14|07:48:37|Filter Replacement Service|Aquashella Expo|-470.46
2025-04-19|04:14:59|Aquarium Setup Consultation|FreshFin Aquatics|-331.64
2025-01-18|09:01:04|Dwarf Hairgrass|Seachem|-65.63
2024-04-08|09:39:30|Live Demo: Building a Nano Tank|PetSmart|65.09
2024-01-22|10:59:00|Betta Fish (Halfmoon)|Aquashella Expo|-262.62
2025-01-15|01:29:05|AquaFest Revenue|Fluval|494.11
2025-01-23|08:24:31|Cryptocoryne Wendtii|Tetra|-477.49
2024-04-01|08:35:53|Anubias Nana|Tetra|-312.56
2024-01-22|03:53:25|Opaline Gourami|Fluval|-67.48
2024-02-23|04:38:25|Bumblebee Goby (Pair)|AquaLuxe Design|-10.23
2024-04-25|04:47:03|Cherry Barbs (Pair)|Aquashella Expo|-285.21
2025-04-16|10:49:06|Frozen Bloodworms|Seachem|-406.63
2025-05-05|06:57:18|Angel Fish|Tetra|-295.19
2024-06-22|04:45:22|Glass Polishing Service|FreshFin Aquatics|-259.27
2024-04-06|06:14:18|Filter Replacement Service|FreshFin Aquatics|-279.69
2023-11-25|09:04:52|Anubias Nana|Tetra|-17.76
2024-08-29|11:02:51|Cryptocoryne Wendtii|FreshFin Aquatics|-430.41
2024-02-25|08:02:21|Amazon Sword|AquaLuxe Design|-205.95
2024-01-30|04:59:54|Planting Techniques Workshop|PetSmart|257.84
2025-02-28|06:27:19|Aquashella Chicago Vendor Payment|Seachem|258.26
2023-04-08|06:12:21|Moneywort|Aquatic Plant Depot|-142.56
2025-10-15|09:47:13|Aquashella Orlando Booth Sales|Tetra|1127.16
2023-10-02|12:52:09|Java Fern|AquaLuxe Design|-359.99
2024-05-23|08:13:05|Live Demo: Building a Nano Tank|FreshFin Aquatics|1347.95
2025-07-22|05:02:21|Aquarium Expo Ticket Sales|Omega One|447.01
2025-02-25|09:22:02|Aquarium Setup Consultation|Tetra|-172.12
2025-06-20|10:08:31|Tank Cleaning Service|PetSmart|-107.99
2025-01-08|12:12:17|Amazon Sword|AquaWorld Supplies|-185.98
2025-04-28|09:10:51|Aquarium Expo Ticket Sales|Aquashella Expo|423.37
2024-08-05|08:22:42|Pygmy Corydoras Catfish (6 Pack)|FreshFin Aquatics|-142.83
2023-10-20|01:45:59|Opaline Gourami|Seachem|-272.93
2024-02-09|06:22:35|Cherry Barbs (Pair)|Seachem|-187.96
2025-09-20|06:06:41|AquaFest Revenue|FreshFin Aquatics|1113.81
2023-10-18|01:56:45|Filter Replacement Service|AquaWorld Supplies|-445.46
2024-11-09|09:53:51|Kuhli Loach (3 Pack)|Seachem|-470.45
2024-06-27|05:53:25|Aquashella Chicago Vendor Payment|FreshFin Aquatics|447.8
2023-04-15|09:18:48|Hardscape Design Basics|Tetra|848.35
2025-05-29|01:09:08|Opaline Gourami|Fluval|-102.51
2023-06-23|08:50:35|Live Demo: Building a Nano Tank|Aquatic Plant Depot|1073.18
2024-04-01|08:35:53|Anubias Nana|Tetra|-312.56
2023-05-06|07:04:19|Bumblebee Goby (Pair)|FreshFin Aquatics|-131.71
2023-04-08|07:35:03|Tank Cleaning Service|PetSmart|-262.63
2023-02-07|05:04:11|Filter Replacement Service|Aquashella Expo|-216.08
2025-05-30|07:44:26|Amazon Sword|PetSmart|-302.88
2023-02-07|12:02:20|Bumblebee Goby (Pair)|Aquashella Expo|-139.56
2023-06-26|10:49:58|Mystery Snail (Golden)|Aquatic Plant Depot|-338.52
2023-06-27|11:51:27|Filter Replacement Service|Seachem|-393.69
2024-02-26|09:25:50|Java Fern|Tetra|-222.8
2023-01-01|02:18:19|Tetra Flake Food|Fluval|-483.05
2024-06-25|12:31:47|Aquarium Expo Ticket Sales|Fluval|1320.0
2023-08-16|09:37:20|Tank Cleaning Service|AquaWorld Supplies|-239.23
2025-03-23|03:53:37|Anubias Nana|AquaWorld Supplies|-122.37
2025-02-22|04:42:12|Aquashella Chicago Vendor Payment|Aquashella Expo|131.74
2024-03-24|11:09:26|Fish Food - Pellets|AquaWorld Supplies|-418.08
2025-03-05|12:26:20|Aquarium Expo Ticket Sales|Aquatic Plant Depot|418.12
2023-06-06|11:59:40|Pump Repair|Tetra|-383.34
2024-08-24|02:42:49|Aquarium Setup Consultation|Omega One|-35.25
2023-01-04|08:01:59|Filter Replacement Service|Omega One|-187.42
2025-06-11|12:50:13|Frozen Bloodworms|Fluval|-256.76
2023-01-22|02:53:36|Pea Puffer Trio|Omega One|-452.2
2024-11-10|02:53:09|Fish Food - Pellets|Aquatic Plant Depot|-321.33
2023-08-24|10:33:57|Bumblebee Goby (Pair)|FreshFin Aquatics|-33.07
2025-08-29|05:29:03|Frozen Bloodworms|Aquashella Expo|-478.72
2023-06-12|06:24:34|Planting Techniques Workshop|Aquashella Expo|1046.61
2024-08-17|08:20:17|Aquarium Expo Ticket Sales|AquaLuxe Design|796.66
2023-02-21|01:59:37|Pygmy Corydoras Catfish (6 Pack)|FreshFin Aquatics|-35.11
2023-12-28|05:56:35|Green Spotted Puffer Juvenile|Seachem|-481.37
2023-10-27|06:39:19|Aquarium Expo Ticket Sales|Aquatic Plant Depot|652.05
2025-03-01|03:02:26|Aquarium Setup Consultation|Tetra|-297.01
2024-07-07|05:03:42|Intro to Aquascaping Class|Fluval|210.77
2024-04-23|12:45:45|Green Spotted Puffer Juvenile|Aquashella Expo|-439.33
2025-04-21|03:08:40|Electric Blue Cichlid|Omega One|-182.85
2024-08-11|08:27:22|Live Demo: Building a Nano Tank|Tetra|1095.39
2024-03-27|06:05:45|Aquarium Salt|Omega One|-403.89
2023-03-08|06:32:16|Live Demo: Building a Nano Tank|Omega One|199.99
2024-10-18|09:55:30|Opaline Gourami|AquaWorld Supplies|-77.81
2025-03-11|05:05:07|Betta Tank Setup Lesson|Seachem|1462.42
2023-03-04|08:38:54|Betta Fish (Halfmoon)|PetSmart|-388.0
2025-09-21|05:35:51|Hornwort|AquaLuxe Design|-99.95
2023-07-18|08:22:35|AquaFest Revenue|Fluval|1357.38
2024-07-19|08:05:04|Hardscape Design Basics|AquaWorld Supplies|361.17
2024-06-09|10:42:16|Aquashella Orlando Booth Sales|Tetra|128.57
2024-11-23|08:53:00|Tank Cleaning Service|Seachem|-324.05
2024-01-21|08:15:15|Java Fern|Tetra|-116.94
2023-02-26|05:34:14|Dwarf Hairgrass|FreshFin Aquatics|-68.54
2024-03-11|04:17:04|Planting Techniques Workshop|PetSmart|1140.65
2023-06-13|04:51:11|Betta Fish (Halfmoon)|PetSmart|-194.73
2024-12-17|03:32:04|Betta Fish (Halfmoon)|Fluval|-22.35
2023-12-13|02:13:37|Water Wisteria|PetSmart|-59.82
2024-08-29|07:37:04|Dwarf Hairgrass|Seachem|-135.64
2023-07-07|07:21:34|Angel Fish|AquaWorld Supplies|-33.12
2024-05-10|06:09:24|AquaFest Revenue|Tetra|367.47
2024-03-19|04:29:43|Live Demo: Building a Nano Tank|Tetra|411.97
2023-07-28|06:10:27|Aquashella Dallas Booth Sales|FreshFin Aquatics|1048.24
2024-05-05|07:51:55|Water Quality Testing|Omega One|-29.19
2023-10-13|06:25:41|Mystery Snail (Golden)|Aquashella Expo|-390.16
2023-08-20|05:19:17|Water Wisteria|Seachem|-457.37
2025-07-11|05:38:01|Betta Tank Setup Lesson|Aquatic Plant Depot|1308.75
2024-07-16|03:32:19|Java Fern|Tetra|-244.99
2024-01-21|02:50:38|Live Demo: Building a Nano Tank|Omega One|484.95
2025-06-30|08:54:13|Glass Polishing Service|Tetra|-66.24
2024-03-01|08:08:26|Cryptocoryne Wendtii|FreshFin Aquatics|-136.32
2023-03-10|03:05:54|Kuhli Loach (3 Pack)|PetSmart|-345.17
2025-06-20|10:55:09|Betta Tank Setup Lesson|Aquashella Expo|838.71
2024-03-27|12:15:49|Fish Food - Pellets|AquaLuxe Design|-228.56
2024-01-28|06:42:38|Anubias Nana|Omega One|-486.06
2023-02-18|04:47:08|Aquashella Dallas Booth Sales|Omega One|1214.32
2024-02-10|03:06:11|Pump Repair|Tetra|-285.38
2024-12-18|06:15:10|Amazon Sword|Omega One|-333.34
2023-05-22|12:19:25|Betta Fish (Halfmoon)|Fluval|-468.89
2024-09-25|09:18:43|Hardscape Design Basics|PetSmart|1077.88
2024-12-19|06:29:52|Aquarium Setup Consultation|Omega One|-210.49
2023-01-12|10:14:12|Java Fern|AquaLuxe Design|-440.93
2024-05-15|11:25:49|Live Demo: Building a Nano Tank|PetSmart|605.75
2024-09-24|08:13:06|Betta Tank Setup Lesson|Aquatic Plant Depot|1235.96
2023-12-16|04:04:57|Dwarf Hairgrass|Aquashella Expo|-196.2
2023-01-22|02:53:36|Pea Puffer Trio|Omega One|-452.2
2023-11-18|01:25:00|Algae Wafers|Seachem|-457.37
2025-08-17|01:03:57|Intro to Aquascaping Class|PetSmart|727.32
2024-10-01|07:16:00|Java Fern|Tetra|-339.76
2023-07-28|08:29:21|Ludwigia Repens|Aquatic Plant Depot|-372.85
2024-03-14|08:17:23|Pygmy Corydoras Catfish (6 Pack)|Aquashella Expo|-327.92
2023-05-12|05:16:13|Pump Repair|Fluval|-418.55
2023-07-22|02:59:56|Pump Repair|Aquashella Expo|-427.43
2024-07-29|05:01:45|Anubias Nana|Aquashella Expo|-205.43
2023-04-02|04:09:14|Fish Food - Pellets|AquaLuxe Design|-151.14
2023-03-01|02:02:52|Hardscape Design Basics|Aquatic Plant Depot|142.93
2023-12-22|04:30:31|Glass Polishing Service|Seachem|-314.51
2024-07-13|04:35:16|Live Demo: Building a Nano Tank|AquaLuxe Design|882.4
2023-04-04|09:39:55|Amazon Sword|Fluval|-264.89
2024-04-06|06:14:18|Filter Replacement Service|FreshFin Aquatics|-279.69
2024-01-07|11:13:12|Ludwigia Repens|AquaLuxe Design|-273.27
2023-04-15|02:23:08|Aquashella Orlando Booth Sales|Aquatic Plant Depot|1220.03
2023-12-01|01:54:15|Water Conditioner - Prime|Fluval|-364.09
2023-02-13|07:28:33|Betta Tank Setup Lesson|Aquatic Plant Depot|300.67
2023-11-29|02:50:05|Filter Media Change|Fluval|-263.65
2024-04-13|02:22:45|Vitamins for Tropical Fish|PetSmart|-328.61
2023-01-31|04:06:33|Water Quality Testing|Omega One|-448.64
2025-08-17|09:26:34|Bumblebee Goby (Pair)|AquaLuxe Design|-475.94
2024-10-13|11:59:59|Algae Wafers|AquaLuxe Design|-424.39
2023-11-09|12:06:11|Fish Food - Pellets|FreshFin Aquatics|-375.42
2025-09-22|08:27:15|AquaFest Revenue|Aquashella Expo|898.25
2025-05-05|12:42:36|Pump Repair|Fluval|-121.55
2023-07-29|02:30:38|Amazon Sword|Tetra|-380.19
2024-06-01|09:30:11|Moneywort|AquaWorld Supplies|-401.82
2025-04-09|04:20:53|Live Demo: Building a Nano Tank|Omega One|275.23
2023-05-18|01:43:16|Java Fern|AquaWorld Supplies|-72.57
2023-02-01|05:50:25|Water Wisteria|FreshFin Aquatics|-250.93
2023-03-30|10:20:26|Intro to Aquascaping Class|Tetra|882.49
2025-01-09|11:37:03|Water Conditioner - Prime|Tetra|-418.03
2023-07-21|10:44:42|Betta Tank Setup Lesson|Aquashella Expo|1353.45
2025-07-08|08:06:50|Hornwort|Aquatic Plant Depot|-11.22
2023-01-09|01:38:23|Moneywort|AquaLuxe Design|-222.18
2024-09-14|10:23:20|Aquashella Chicago Vendor Payment|Tetra|1217.23
2025-05-29|07:15:11|Amazon Sword|Omega One|-435.97
2025-07-02|02:39:47|Frozen Bloodworms|Seachem|-392.23
2023-02-28|01:04:59|AquaFest Revenue|FreshFin Aquatics|796.62
2024-04-14|07:53:16|Live Demo: Building a Nano Tank|Tetra|177.31
2024-07-23|04:11:17|Algae Wafers|Aquashella Expo|-319.98
2024-11-24|04:53:42|Angel Fish|Seachem|-473.39
2024-04-26|06:19:31|Live Demo: Building a Nano Tank|Aquatic Plant Depot|1244.52
2023-07-05|11:48:23|Aquarium Setup Consultation|AquaLuxe Design|-245.72
2025-02-23|05:27:03|Algae Wafers|Omega One|-19.07
2024-04-11|07:54:26|AquaFest Revenue|Tetra|140.98
2023-01-22|01:50:04|Pump Repair|PetSmart|-345.72
2023-03-27|02:58:25|Aquashella Dallas Booth Sales|Tetra|263.75
2024-04-16|06:26:17|Filter Replacement Service|Aquatic Plant Depot|-263.26
2025-07-08|04:08:59|Planting Techniques Workshop|AquaWorld Supplies|488.03
2025-01-01|01:50:51|Celestial Pearl Danio|Seachem|-123.61
2025-06-11|02:37:33|Aquarium Expo Ticket Sales|Aquatic Plant Depot|838.52
2023-04-09|11:41:54|AquaFest Revenue|AquaWorld Supplies|1157.53
2024-12-08|07:45:54|Anubias Nana|FreshFin Aquatics|-73.77
2025-06-25|07:54:55|Glass Polishing Service|Seachem|-141.09
2023-07-18|10:59:07|Water Conditioner - Prime|FreshFin Aquatics|-460.77
2024-06-20|02:52:48|Aquashella Dallas Booth Sales|Aquatic Plant Depot|1238.3
2023-04-12|01:05:09|Dwarf Hairgrass|FreshFin Aquatics|-137.22
2023-03-16|10:19:57|Algae Wafers|AquaLuxe Design|-284.53
2024-09-28|11:30:39|Moneywort|Tetra|-381.22
2025-09-14|06:55:47|Tank Cleaning Service|Omega One|-146.47
2023-02-06|07:06:35|Live Demo: Building a Nano Tank|PetSmart|1288.1
2023-06-13|04:36:25|Live Demo: Building a Nano Tank|Tetra|1110.15
2024-09-07|09:04:53|Algae Wafers|AquaLuxe Design|-174.06
2023-10-28|10:15:45|Ludwigia Repens|FreshFin Aquatics|-43.09
2025-03-04|01:06:42|Fish Food - Pellets|FreshFin Aquatics|-315.54
2024-06-17|12:39:17|Hardscape Design Basics|Seachem|626.89
2025-01-26|03:57:08|Betta Fish (Halfmoon)|PetSmart|-204.25
2025-09-05|08:49:55|Aquarium Setup Consultation|PetSmart|-99.38
2023-11-22|12:49:02|Amazon Sword|FreshFin Aquatics|-324.51
2024-09-17|09:22:00|Celestial Pearl Danio|Tetra|-123.78
2023-10-14|10:11:22|Aquarium Expo Ticket Sales|PetSmart|810.42
2023-03-24|12:42:12|Fish Food - Pellets|Seachem|-255.42
2025-02-22|09:52:34|Water Conditioner - Prime|FreshFin Aquatics|-430.31
2024-05-14|01:13:09|Tank Cleaning Service|FreshFin Aquatics|-58.15
2024-06-14|09:35:24|Planting Techniques Workshop|FreshFin Aquatics|392.57
2025-07-28|02:51:30|Live Demo: Building a Nano Tank|FreshFin Aquatics|284.28
2023-05-02|05:22:06|Aquashella Chicago Vendor Payment|Omega One|259.34
2025-02-26|08:20:54|Aquarium Expo Ticket Sales|Fluval|746.82
2024-02-20|04:05:59|Betta Tank Setup Lesson|PetSmart|882.07
2023-02-16|11:25:57|Anubias Nana|AquaWorld Supplies|-77.9
2023-11-04|09:12:37|AquaFest Revenue|Seachem|1303.14
2023-06-28|06:32:07|AquaFest Revenue|Seachem|534.26
2024-07-29|02:06:18|Anubias Nana|Tetra|-419.03
2023-07-06|12:33:33|Celestial Pearl Danio|Tetra|-385.31
2024-05-30|08:55:15|Fish Food - Pellets|Fluval|-374.09
2023-04-11|06:26:59|Planting Techniques Workshop|PetSmart|1107.12
2023-09-03|01:05:30|Java Fern|Seachem|-231.14
2023-08-11|07:06:32|Water Conditioner - Prime|AquaWorld Supplies|-309.85
2025-01-09|02:00:41|Ich-X Treatment|Omega One|-436.65
2023-12-03|01:06:13|Hornwort|AquaWorld Supplies|-365.81
2023-10-05|03:08:24|Java Fern|AquaWorld Supplies|-197.3
2023-03-06|01:36:00|Aquashella Chicago Vendor Payment|FreshFin Aquatics|132.01
2024-02-25|01:12:52|Water Quality Testing|FreshFin Aquatics|-493.82
2024-09-01|08:05:21|Pygmy Corydoras Catfish (6 Pack)|Tetra|-383.41
2023-10-11|01:03:45|Ich-X Treatment|Seachem|-201.88
2023-10-13|06:25:41|Mystery Snail (Golden)|Aquashella Expo|-390.16
2023-01-22|01:50:04|Pump Repair|PetSmart|-345.72
2023-08-03|04:26:24|AquaFest Revenue|Omega One|128.1
2024-11-03|03:01:48|Aquashella Dallas Booth Sales|FreshFin Aquatics|552.19
2023-04-08|05:01:50|Pygmy Corydoras Catfish (6 Pack)|Omega One|-218.68
2024-07-20|10:28:49|Vitamins for Tropical Fish|Aquashella Expo|-203.83
2024-06-15|01:16:28|AquaFest Revenue|Aquashella Expo|1171.35
2024-04-25|02:18:25|Ich-X Treatment|Seachem|-414.21
2023-05-08|12:34:01|Water Quality Testing|PetSmart|-183.7
2024-04-03|11:01:27|Glass Polishing Service|AquaLuxe Design|-248.74
2024-01-20|07:24:14|Water Quality Testing|AquaLuxe Design|-239.91
2023-06-20|05:33:23|Aquarium Setup Consultation|AquaWorld Supplies|-308.86
2023-03-13|12:46:18|Aquarium Salt|AquaWorld Supplies|-458.42
2025-09-19|06:32:11|Frozen Bloodworms|AquaLuxe Design|-217.57
2023-06-16|10:29:20|Pygmy Corydoras Catfish (6 Pack)|Aquatic Plant Depot|-95.24
2023-12-26|06:38:02|Amazon Sword|FreshFin Aquatics|-187.17
2025-09-26|02:53:30|Ludwigia Repens|AquaLuxe Design|-342.55
2025-05-12|02:09:49|AquaFest Revenue|Aquatic Plant Depot|1043.6
2024-07-25|01:38:29|Filter Replacement Service|AquaLuxe Design|-142.9
2024-04-24|06:55:57|Electric Blue Cichlid|Tetra|-36.94
2023-02-22|05:55:09|Kuhli Loach (3 Pack)|Aquatic Plant Depot|-150.24
2025-07-29|02:26:47|Hardscape Design Basics|Tetra|309.71
2023-11-02|08:55:08|Java Fern|Aquatic Plant Depot|-251.58
2023-07-10|04:59:45|Electric Blue Cichlid|FreshFin Aquatics|-340.65
2024-04-10|11:59:11|Pygmy Corydoras Catfish (6 Pack)|Omega One|-495.09
2023-01-31|06:50:27|Aquashella Dallas Booth Sales|Aquatic Plant Depot|689.22
2024-04-16|05:40:08|Anubias Nana|Fluval|-466.08
2024-09-07|02:29:22|Amazon Sword|Aquashella Expo|-197.84
2025-01-25|08:44:10|Betta Tank Setup Lesson|Fluval|1034.52
2024-06-16|07:24:56|Aquarium Expo Ticket Sales|Seachem|898.85
2024-01-29|05:51:24|Vitamins for Tropical Fish|Aquashella Expo|-329.89
2024-12-05|11:23:19|Ich-X Treatment|Aquatic Plant Depot|-71.47
2023-08-24|09:09:37|Live Demo: Building a Nano Tank|Omega One|1230.53
2025-08-12|11:09:26|Aquashella Dallas Booth Sales|Omega One|211.03
2025-07-29|02:26:47|Hardscape Design Basics|Tetra|309.71
2024-10-23|01:51:37|Water Quality Testing|Fluval|-375.84
2025-07-13|01:13:30|Frozen Bloodworms|Fluval|-300.91
2024-02-26|01:26:35|Ich-X Treatment|Aquashella Expo|-156.92
2025-06-02|01:14:56|Ich-X Treatment|Aquashella Expo|-108.26
2024-12-27|10:01:13|Ich-X Treatment|AquaLuxe Design|-51.95
2024-05-15|01:26:15|Pump Repair|AquaLuxe Design|-134.72
2025-09-21|04:28:44|Kuhli Loach (3 Pack)|AquaWorld Supplies|-487.43
2024-07-27|08:38:50|Anubias Nana|Aquatic Plant Depot|-55.19
2023-07-30|02:59:09|Planting Techniques Workshop|PetSmart|258.36
2025-03-07|03:50:46|Aquarium Expo Ticket Sales|PetSmart|1117.04
2024-06-15|11:25:00|AquaFest Revenue|Fluval|1395.35
2023-08-11|09:27:46|Vitamins for Tropical Fish|Aquashella Expo|-194.38
2024-10-29|11:25:07|Live Demo: Building a Nano Tank|Seachem|1081.19
2024-02-10|02:17:21|AquaFest Revenue|Seachem|192.31
2023-02-12|12:54:44|Hornwort|Seachem|-10.52
2024-04-23|04:40:34|Live Demo: Building a Nano Tank|Tetra|87.91
2023-10-10|08:37:11|Moneywort|AquaLuxe Design|-112.12
2023-09-15|06:02:12|Filter Media Change|Seachem|-344.12
2023-09-26|06:43:03|Betta Revive|PetSmart|-207.12
2023-05-25|08:25:49|Vitamins for Tropical Fish|Omega One|-334.74
2023-05-27|04:57:09|Frozen Bloodworms|Fluval|-102.39
2025-03-06|10:51:51|Planting Techniques Workshop|AquaLuxe Design|695.5
2024-08-07|02:29:45|Opaline Gourami|Aquatic Plant Depot|-401.9
2024-01-10|01:11:12|Hardscape Design Basics|Tetra|1394.12
2024-09-03|02:29:25|Aquashella Orlando Booth Sales|AquaLuxe Design|1279.15
2024-11-10|01:31:27|Ich-X Treatment|Tetra|-298.26
2025-05-30|10:56:27|Betta Fish (Halfmoon)|AquaLuxe Design|-88.5
2023-09-19|07:50:16|Cryptocoryne Wendtii|Fluval|-459.61
2025-04-30|04:18:43|Hardscape Design Basics|AquaLuxe Design|1147.36
2024-03-22|01:51:36|Aquashella Orlando Booth Sales|Aquashella Expo|252.87
2025-04-06|03:26:30|Water Conditioner - Prime|Aquatic Plant Depot|-120.01
2025-04-05|09:31:50|Dwarf Hairgrass|Aquatic Plant Depot|-109.11
2023-08-04|10:21:30|Live Demo: Building a Nano Tank|Fluval|1199.54
2025-01-15|04:21:49|Tank Cleaning Service|Tetra|-69.73
2023-03-29|05:41:19|Tank Cleaning Service|PetSmart|-329.78
2025-07-12|11:22:22|Aquashella Dallas Booth Sales|PetSmart|1206.07
2023-06-02|11:11:02|Pygmy Corydoras Catfish (6 Pack)|Fluval|-433.79
2024-10-23|06:30:34|Frozen Bloodworms|Aquashella Expo|-407.57
2023-01-26|09:10:27|Aquashella Orlando Booth Sales|FreshFin Aquatics|225.94
2023-11-17|04:46:05|Live Demo: Building a Nano Tank|Aquashella Expo|707.82
2025-09-06|12:34:04|Anubias Nana|Fluval|-182.54
2024-02-14|08:51:42|AquaFest Revenue|PetSmart|811.31
2023-10-28|02:21:00|Intro to Aquascaping Class|PetSmart|938.45
2025-04-25|05:55:20|Ludwigia Repens|AquaLuxe Design|-459.8
2025-02-27|11:16:59|Live Demo: Building a Nano Tank|AquaWorld Supplies|1301.94
2025-02-08|08:16:54|Aquashella Dallas Booth Sales|FreshFin Aquatics|773.24
2024-01-24|12:27:43|Intro to Aquascaping Class|Tetra|98.39
2023-07-22|04:07:13|AquaFest Revenue|Seachem|608.73
2024-04-21|11:09:42|Live Demo: Building a Nano Tank|Aquatic Plant Depot|312.01
2023-08-15|04:11:28|Water Conditioner - Prime|Aquashella Expo|-473.39
2025-08-31|12:21:08|Aquarium Expo Ticket Sales|PetSmart|593.54
2025-01-26|03:57:08|Betta Fish (Halfmoon)|PetSmart|-204.25
2024-02-16|05:21:18|Vitamins for Tropical Fish|Tetra|-213.71
2025-08-13|02:36:45|Bumblebee Goby (Pair)|PetSmart|-286.72
2023-07-18|05:49:04|Cryptocoryne Wendtii|Seachem|-154.43
2023-09-17|06:02:00|Live Demo: Building a Nano Tank|PetSmart|1422.89
2024-07-15|08:10:29|Ich-X Treatment|Seachem|-255.67
2025-05-29|12:25:07|Filter Media Change|AquaLuxe Design|-16.03
2023-02-20|10:41:34|AquaFest Revenue|Seachem|505.26
2025-05-31|08:08:59|Filter Media Change|AquaLuxe Design|-240.38
2024-05-06|03:13:27|Moneywort|Tetra|-160.18
2023-02-16|01:31:13|Live Demo: Building a Nano Tank|Seachem|1371.46
2023-06-01|01:09:56|Amazon Sword|Omega One|-385.52
2024-04-24|03:50:29|Filter Replacement Service|Fluval|-481.25
2024-05-30|12:28:45|Dwarf Hairgrass|PetSmart|-159.11
2023-04-30|02:08:22|Planting Techniques Workshop|Aquatic Plant Depot|377.46
2023-10-21|01:58:43|Dwarf Hairgrass|Seachem|-365.34
2025-01-02|06:06:11|Anubias Nana|Omega One|-313.47
2023-08-06|05:49:23|Aquashella Chicago Vendor Payment|AquaWorld Supplies|1038.49
2023-08-19|05:56:59|Pygmy Corydoras Catfish (6 Pack)|AquaWorld Supplies|-251.88
2024-03-04|05:17:38|Filter Replacement Service|FreshFin Aquatics|-286.52
2023-04-01|05:50:19|Betta Revive|PetSmart|-417.41
2024-03-03|10:25:54|Betta Revive|Aquatic Plant Depot|-66.15
2024-09-29|08:40:42|Moneywort|FreshFin Aquatics|-336.95
2023-12-11|02:30:24|Moneywort|Aquashella Expo|-355.93
2023-05-29|01:25:43|Betta Fish (Halfmoon)|Tetra|-402.52
2023-06-04|08:57:44|Intro to Aquascaping Class|AquaWorld Supplies|1406.91
2023-02-07|08:12:21|Dwarf Hairgrass|Aquashella Expo|-461.83
2023-03-01|06:51:59|Tetra Flake Food|PetSmart|-351.64
2024-09-23|01:30:18|Hardscape Design Basics|AquaLuxe Design|119.01
2025-10-09|10:08:42|Filter Replacement Service|PetSmart|-228.61
2024-07-12|07:20:07|Aquashella Orlando Booth Sales|Tetra|590.4
2025-09-22|05:27:40|Aquarium Expo Ticket Sales|AquaLuxe Design|368.24
2024-05-08|01:12:13|Water Wisteria|AquaLuxe Design|-35.34
2025-05-02|10:26:54|Aquashella Dallas Booth Sales|AquaLuxe Design|548.92
2023-12-21|06:51:40|Anubias Nana|Seachem|-65.56
2023-05-27|05:13:50|Live Demo: Building a Nano Tank|Aquatic Plant Depot|438.33
2024-10-08|11:04:08|Opaline Gourami|Tetra|-151.48
2024-10-11|01:05:50|Fish Food - Pellets|PetSmart|-12.15
2025-04-22|01:48:13|AquaFest Revenue|AquaWorld Supplies|1431.72
2023-08-29|01:59:48|Glass Polishing Service|AquaWorld Supplies|-30.17
2023-02-15|10:36:07|Frozen Bloodworms|Seachem|-233.07
2025-05-01|05:02:07|Fish Food - Pellets|AquaWorld Supplies|-443.26
2025-08-22|04:39:40|Fish Food - Pellets|AquaWorld Supplies|-389.92
2023-04-27|03:18:22|Aquarium Salt|PetSmart|-353.55
2024-09-18|12:50:43|Dwarf Hairgrass|Omega One|-211.47
2023-02-21|02:24:38|Pea Puffer Trio|Aquashella Expo|-76.15
2024-08-08|03:54:13|Aquashella Dallas Booth Sales|Omega One|1186.6
2023-12-11|09:54:56|Pump Repair|FreshFin Aquatics|-60.54
2023-06-14|02:32:09|Betta Tank Setup Lesson|Aquashella Expo|976.97
2023-12-08|01:06:37|Filter Media Change|AquaWorld Supplies|-219.66
2024-08-03|06:16:50|AquaFest Revenue|FreshFin Aquatics|708.33
